model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
maps_transformer_small_shortest_paths_s2,maps,transformer,small,shortest_paths,2,no,configs/runs/maps_transformer_small_shortest_paths_s2.yaml,checkpoints/maps_transformer_small_shortest_paths_s2/model.pt,planned,
maps_transformer_small_noisy_shortest_paths_s0,maps,transformer,small,noisy_shortest_paths,0,no,configs/runs/maps_transformer_small_noisy_shortest_paths_s0.yaml,checkpoints/maps_transformer_small_noisy_shortest_paths_s0/model.pt,planned,
maps_transformer_small_noisy_shortest_paths_s1,maps,transformer,small,noisy_shortest_paths,1,no,configs/runs/maps_transformer_small_noisy_shortest_paths_s1.yaml,checkpoints/maps_transformer_small_noisy_shortest_paths_s1/model.pt,planned,
maps_transformer_small_noisy_shortest_paths_s2,maps,transformer,small,noisy_shortest_paths,2,no,configs/runs/maps_transformer_small_noisy_shortest_paths_s2.yaml,checkpoints/maps_transformer_small_noisy_shortest_paths_s2/model.pt,planned,
maps_transformer_small_random_walks_s0,maps,transformer,small,random_walks,0,no,configs/runs/maps_transformer_small_random_walks_s0.yaml,checkpoints/maps_transformer_small_random_walks_s0/model.pt,planned,
maps_transformer_small_random_walks_s1,maps,transformer,small,random_walks,1,no,configs/runs/maps_transformer_small_random_walks_s1.yaml,checkpoints/maps_transformer_small_random_walks_s1/model.pt,planned,
maps_transformer_small_random_walks_s2,maps,transformer,small,random_walks,2,no,configs/runs/maps_transformer_small_random_walks_s2.yaml,checkpoints/maps_transformer_small_random_walks_s2/model.pt,planned,
maps_transformer_medium_shortest_paths_s0,maps,transformer,medium,shortest_paths,0,no,configs/runs/maps_transformer_medium_shortest_paths_s0.yaml,checkpoints/maps_transformer_medium_shortest_paths_s0/model.pt,planned,
maps_transformer_medium_shortest_paths_s1,maps,transformer,medium,shortest_paths,1,no,configs/runs/maps_transformer_medium_shortest_paths_s1.yaml,checkpoints/maps_transformer_medium_shortest_paths_s1/model.pt,planned,
maps_transformer_medium_shortest_paths_s2,maps,transformer,medium,shortest_paths,2,no,configs/runs/maps_transformer_medium_shortest_paths_s2.yaml,checkpoints/maps_transformer_medium_shortest_paths_s2/model.pt,planned,
maps_transformer_medium_noisy_shortest_paths_s0,maps,transformer,medium,noisy_shortest_paths,0,no,configs/runs/maps_transformer_medium_noisy_shortest_paths_s0.yaml,checkpoints/maps_transformer_medium_noisy_shortest_paths_s0/model.pt,planned,
maps_transformer_medium_noisy_shortest_paths_s1,maps,transformer,medium,noisy_shortest_paths,1,no,configs/runs/maps_transformer_medium_noisy_shortest_paths_s1.yaml,checkpoints/maps_transformer_medium_noisy_shortest_paths_s1/model.pt,planned,
maps_transformer_medium_noisy_shortest_paths_s2,maps,transformer,medium,noisy_shortest_paths,2,no,configs/runs/maps_transformer_medium_noisy_shortest_paths_s2.yaml,checkpoints/maps_transformer_medium_noisy_shortest_paths_s2/model.pt,planned,
maps_transformer_medium_random_walks_s0,maps,transformer,medium,random_walks,0,no,configs/runs/maps_transformer_medium_random_walks_s0.yaml,checkpoints/maps_transformer_medium_random_walks_s0/model.pt,planned,
maps_transformer_medium_random_walks_s1,maps,transformer,medium,random_walks,1,no,configs/runs/maps_transformer_medium_random_walks_s1.yaml,checkpoints/maps_transformer_medium_random_walks_s1/model.pt,planned,
maps_transformer_medium_random_walks_s2,maps,transformer,medium,random_walks,2,no,configs/runs/maps_transformer_medium_random_walks_s2.yaml,checkpoints/maps_transformer_medium_random_walks_s2/model.pt,planned,
maps_transformer_large_shortest_paths_s0,maps,transformer,large,shortest_paths,0,no,configs/runs/maps_transformer_large_shortest_paths_s0.yaml,checkpoints/maps_transformer_large_shortest_paths_s0/model.pt,planned,
maps_transformer_large_shortest_paths_s1,maps,transformer,large,shortest_paths,1,no,configs/runs/maps_transformer_large_shortest_paths_s1.yaml,checkpoints/maps_transformer_large_shortest_paths_s1/model.pt,planned,
maps_transformer_large_shortest_paths_s2,maps,transformer,large,shortest_paths,2,no,configs/runs/maps_transformer_large_shortest_paths_s2.yaml,checkpoints/maps_transformer_large_shortest_paths_s2/model.pt,planned,
maps_transformer_large_noisy_shortest_paths_s0,maps,transformer,large,noisy_shortest_paths,0,no,configs/runs/maps_transformer_large_noisy_shortest_paths_s0.yaml,checkpoints/maps_transformer_large_noisy_shortest_paths_s0/model.pt,planned,
maps_transformer_large_noisy_shortest_paths_s1,maps,transformer,large,noisy_shortest_paths,1,no,configs/runs/maps_transformer_large_noisy_shortest_paths_s1.yaml,checkpoints/maps_transformer_large_noisy_shortest_paths_s1/model.pt,planned,
maps_transformer_large_noisy_shortest_paths_s2,maps,transformer,large,noisy_shortest_paths,2,no,configs/runs/maps_transformer_large_noisy_shortest_paths_s2.yaml,checkpoints/maps_transformer_large_noisy_shortest_paths_s2/model.pt,planned,
maps_transformer_large_random_walks_s0,maps,transformer,large,random_walks,0,no,configs/runs/maps_transformer_large_random_walks_s0.yaml,checkpoints/maps_transformer_large_random_walks_s0/model.pt,planned,
maps_transformer_large_random_walks_s1,maps,transformer,large,random_walks,1,no,configs/runs/maps_transformer_large_random_walks_s1.yaml,checkpoints/maps_transformer_large_random_walks_s1/model.pt,planned,
maps_transformer_large_random_walks_s2,maps,transformer,large,random_walks,2,no,configs/runs/maps_transformer_large_random_walks_s2.yaml,checkpoints/maps_transformer_large_random_walks_s2/model.pt,planned,
maps_lstm_small_shortest_paths_s0,maps,lstm,small,shortest_paths,0,no,configs/runs/maps_lstm_small_shortest_paths_s0.yaml,checkpoints/maps_lstm_small_shortest_paths_s0/model.pt,planned,
maps_lstm_small_shortest_paths_s1,maps,lstm,small,shortest_paths,1,no,configs/runs/maps_lstm_small_shortest_paths_s1.yaml,checkpoints/maps_lstm_small_shortest_paths_s1/model.pt,planned,
maps_lstm_small_shortest_paths_s2,maps,lstm,small,shortest_paths,2,no,configs/runs/maps_lstm_small_shortest_paths_s2.yaml,checkpoints/maps_lstm_small_shortest_paths_s2/model.pt,planned,
maps_lstm_small_noisy_shortest_paths_s0,maps,lstm,small,noisy_shortest_paths,0,no,configs/runs/maps_lstm_small_noisy_shortest_paths_s0.yaml,checkpoints/maps_lstm_small_noisy_shortest_paths_s0/model.pt,planned,
maps_lstm_small_noisy_shortest_paths_s1,maps,lstm,small,noisy_shortest_paths,1,no,configs/runs/maps_lstm_small_noisy_shortest_paths_s1.yaml,checkpoints/maps_lstm_small_noisy_shortest_paths_s1/model.pt,planned,
maps_lstm_small_noisy_shortest_paths_s2,maps,lstm,small,noisy_shortest_paths,2,no,configs/runs/maps_lstm_small_noisy_shortest_paths_s2.yaml,checkpoints/maps_lstm_small_noisy_shortest_paths_s2/model.pt,planned,
